target_end_date,horizon,output_type_id,value,location,target,Model,output_type,reference_date
2025-11-29,1,large_decrease,0.0,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,stable,0.6029936818488072,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,increase,0.3970063181511928,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_increase,0.0,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,decrease,0.0,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_decrease,0.0,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,stable,0.4692656695606146,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,increase,0.5095822375982582,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_increase,0.02115209284112718,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,decrease,0.0,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_decrease,0.0,04,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,stable,0.89,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,increase,0.09999999999999998,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_increase,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,decrease,0.01,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_decrease,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,stable,0.7923872340005463,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,increase,0.20761276599945366,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_increase,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,decrease,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_decrease,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,stable,0.6966608431808337,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,increase,0.30333915681916634,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_increase,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,decrease,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_decrease,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,stable,0.7836646676582874,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,increase,0.21633533234171265,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_increase,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,decrease,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_decrease,0.0,05,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,stable,0.9138648755102041,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,increase,0.08613512448979588,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_increase,0.0,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,decrease,0.0,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_decrease,0.0,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,stable,0.8133782355893214,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,increase,0.18662176441067857,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_increase,0.0,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,decrease,0.0,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_decrease,0.0,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,stable,0.7597155279266138,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,increase,0.2402844720733862,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_increase,0.0,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,decrease,0.0,06,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
