,reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
16974,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.01,43.213268515579806
16975,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.025,46.77904634516213
16976,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.05,50.13425678295732
16977,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.1,55.0
16978,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.15,59.0
16979,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.2,63.0
16980,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.25,65.5
16981,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.3,70.14625966147176
16982,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.35,71.5
16983,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.4,72.5
16984,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.45,74.0
16985,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.5,75.0
16986,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.55,79.0
16987,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.6,83.0
16988,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.65,87.0
16989,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.7,91.0
16990,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.75,94.0
16991,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.8,97.5
16992,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.85,104.0
16993,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.9,113.5
16994,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.95,124.0
16995,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.975,135.5
16996,2025-12-13,01,0.0,wk inc flu hosp,2025-12-13,quantile,0.99,153.5
16997,2025-12-13,01,1.0,wk inc flu hosp,2025-12-20,quantile,0.01,44.0
16998,2025-12-13,01,1.0,wk inc flu hosp,2025-12-20,quantile,0.025,51.0
16999,2025-12-13,01,1.0,wk inc flu hosp,2025-12-20,quantile,0.05,58.0
17000,2025-12-13,01,1.0,wk inc flu hosp,2025-12-20,quantile,0.1,67.0
17001,2025-12-13,01,1.0,wk inc flu hosp,2025-12-20,quantile,0.15,72.0
17002,2025-12-13,01,1.0,wk inc flu hosp,2025-12-20,quantile,0.2,76.0
17003,2025-12-13,01,1.0,wk inc flu hosp,2025-12-20,quantile,0.25,85.42584961046626
17004,2025-12-13,01,1.0,wk inc flu hosp,2025-12-20,quantile,0.3,90.0
